easting,northing,height,dz_dx,dz_dy,tangent_x,tangent_y,tangent_derivative
3.333863775551240542e+05,4.979720443613738753e+06,2.222936000000000149e+03,2.493334270889834836e-01,-2.004420894962989919e-01,-9.333786228569114218e-01,3.588932242237730108e-01,-3.046597985779863627e-01
3.333849236636901041e+05,4.979720992843268439e+06,2.222490999999999985e+03,2.411014520021639851e-01,-2.032910989889727404e-01,-9.324591144222272865e-01,3.612755180342500094e-01,-2.982613435188440909e-01
3.333834861278314493e+05,4.979721563879364170e+06,2.221972000000000207e+03,2.342485236962135453e-01,-2.059247895628507075e-01,-9.248012230094547759e-01,3.804506510971121247e-01,-2.949775414686399144e-01
3.333820965003822348e+05,4.979722155899819918e+06,2.221411000000000058e+03,2.302419780810493477e-01,-2.085954427110003062e-01,-9.139315758496593389e-01,4.058682971912912496e-01,-2.950876909893334066e-01
3.333807471826078254e+05,4.979722780218818225e+06,2.220847999999999956e+03,2.268126015460068257e-01,-2.118462502387414848e-01,-8.928335079133208341e-01,4.503868638705996741e-01,-2.979186589450406042e-01
3.333794475100758718e+05,4.979723492174081504e+06,2.220309999999999945e+03,2.210517385359509757e-01,-2.136264531365059394e-01,-8.331486704759304418e-01,5.530490872284207216e-01,-3.023148769826101701e-01
3.333771390885363799e+05,4.979725175293315202e+06,2.219293000000000120e+03,2.085774657125266107e-01,-2.177378113722865660e-01,-7.774952471327288839e-01,6.288888142478100685e-01,-2.991008622613097745e-01
3.333761388067106018e+05,4.979726168468944728e+06,2.218746999999999844e+03,2.028654689541488643e-01,-2.200964094378852764e-01,-6.604408737995144385e-01,7.508780541572204204e-01,-2.992462112255365181e-01
3.333752378152462770e+05,4.979727336916626431e+06,2.218326000000000022e+03,1.976236816894766379e-01,-2.230836607118074355e-01,-5.830504516083815369e-01,8.124359487856642748e-01,-2.964657624065368813e-01
3.333744478378538042e+05,4.979728524703956209e+06,2.217914000000000215e+03,1.950823131989656845e-01,-2.288263687887614473e-01,-4.974911800878797918e-01,8.674690344529704111e-01,-2.955515193981930189e-01
3.333738334274585941e+05,4.979729785729724914e+06,2.217563999999999851e+03,1.953584555755752405e-01,-2.352806901078446089e-01,-3.825870809848317955e-01,9.239194366737317754e-01,-2.921220239290109322e-01
3.333733636101677548e+05,4.979731143033436500e+06,2.217242000000000189e+03,1.952444832491700699e-01,-2.398751795231641448e-01,-2.892295119327669695e-01,9.572597815781949127e-01,-2.860933285540971927e-01
3.333729904777936172e+05,4.979732575631096959e+06,2.216909999999999854e+03,1.944440960214723624e-01,-2.447349572262449147e-01,-2.167144461782575804e-01,9.762350376920770900e-01,-2.810576847742574103e-01
3.333727207605476724e+05,4.979734038882486522e+06,2.216621000000000095e+03,1.935902994321905823e-01,-2.473870821688082811e-01,-1.670450095971474092e-01,9.859492708900843283e-01,-2.762494067185268243e-01
3.333724910633657128e+05,4.979735523323412053e+06,2.216356999999999971e+03,1.925228464291010022e-01,-2.468116543100876970e-01,-1.589155889638917407e-01,9.872921733632145092e-01,-2.742700961244623481e-01
3.333720074258739478e+05,4.979738470604666509e+06,2.215632999999999811e+03,1.931019692305388225e-01,-2.392960198978651420e-01,-1.607375374390191403e-01,9.869971854357234564e-01,-2.672232331339058353e-01
3.333717765711544198e+05,4.979739910610991530e+06,2.215108000000000175e+03,1.956558678673109841e-01,-2.318647230998117370e-01,-1.656922654327040445e-01,9.861775059165457380e-01,-2.610784383287393928e-01
3.333715290717414464e+05,4.979741317702472210e+06,2.214570999999999913e+03,1.988314844004372972e-01,-2.266175452247498334e-01,-2.031346275767685339e-01,9.791508173306334717e-01,-2.622823141624944787e-01
3.333712015327080153e+05,4.979742682414949872e+06,2.214027000000000044e+03,2.027684401512095391e-01,-2.248856704445856280e-01,-2.857839348853332684e-01,9.582940793730574391e-01,-2.734545692198608324e-01
