easting,northing,tangent_derivative,inclination_deg
3.333943257680719253e+05,4.979716179098452441e+06,-3.444421261364962739e-01,-1.900586545442079611e+01
3.333931811788320774e+05,4.979717087101609446e+06,-3.527365816783482599e-01,-1.942961022404456983e+01
3.333906317634549923e+05,4.979718609751933254e+06,-3.483459362255918457e-01,-1.920557431956944683e+01
3.333892596479007043e+05,4.979719268011685461e+06,-3.414642125142560158e-01,-1.885319970590551719e+01
3.333878387560907286e+05,4.979719871961683035e+06,-3.300418981577635247e-01,-1.826505475207470397e+01
3.333863775551240542e+05,4.979720443613738753e+06,-3.188495756203108544e-01,-1.768485989020331672e+01
3.333849236636901041e+05,4.979720992843268439e+06,-3.103423849804022305e-01,-1.724133174289287496e+01
3.333834861278314493e+05,4.979721563879364170e+06,-3.027610072096187377e-01,-1.684426588605328234e+01
3.333820965003822348e+05,4.979722155899819918e+06,-2.953742528291114500e-01,-1.645578363673868338e+01
3.333807471826078254e+05,4.979722780218818225e+06,-2.936750851694228115e-01,-1.636619947434212108e+01
3.333794475100758718e+05,4.979723492174081504e+06,-2.975320453684370259e-01,-1.656942840249801208e+01
3.333771390885363799e+05,4.979725175293315202e+06,-2.920245445894113501e-01,-1.627910020074724429e+01
3.333761388067106018e+05,4.979726168468944728e+06,-2.937091103555828364e-01,-1.636799417215924279e+01
3.333752378152462770e+05,4.979727336916626431e+06,-2.948892304215238180e-01,-1.643022051796861760e+01
3.333744478378538042e+05,4.979728524703956209e+06,-2.963929807550100270e-01,-1.650945377818901250e+01
3.333738334274585941e+05,4.979729785729724914e+06,-2.940106601340104486e-01,-1.638389832070111396e+01
3.333733636101677548e+05,4.979731143033436500e+06,-2.897254131727464155e-01,-1.615764575900893263e+01
3.333729904777936172e+05,4.979732575631096959e+06,-2.862402905564966904e-01,-1.597325532998961251e+01
3.333727207605476724e+05,4.979734038882486522e+06,-2.812111973363736195e-01,-1.570657754903811565e+01
3.333724910633657128e+05,4.979735523323412053e+06,-2.767221044864666690e-01,-1.546794288068353929e+01
3.333720074258739478e+05,4.979738470604666509e+06,-2.596971797608813581e-01,-1.455796329355067797e+01
3.333717765711544198e+05,4.979739910610991530e+06,-2.534876112499988565e-01,-1.422415955653573150e+01
3.333715290717414464e+05,4.979741317702472210e+06,-2.597755079319305493e-01,-1.456216753646092776e+01
3.333712015327080153e+05,4.979742682414949872e+06,-2.771183562668620981e-01,-1.548902941794018062e+01
3.333707305591756012e+05,4.979743995284277014e+06,-2.956494898042520969e-01,-1.647028701347831614e+01
3.333701403947268846e+05,4.979745277911118232e+06,-3.122135457858491447e-01,-1.733907099688105546e+01
3.333694544144601678e+05,4.979746518570153974e+06,-3.292752151648702941e-01,-1.822543294416081494e+01
3.333686805065887165e+05,4.979747717055850662e+06,-3.469642214890046317e-01,-1.913494450836703464e+01
3.333677789407838136e+05,4.979748863287411630e+06,-3.656821329528996412e-01,-2.008656316224009686e+01
3.333656513089474174e+05,4.979750819605228491e+06,-3.913334670031136664e-01,-2.137206911856350189e+01
3.333644573745673988e+05,4.979751651086629368e+06,-3.906969994530729018e-01,-2.134043833697577597e+01
3.333631577097830595e+05,4.979752363045433536e+06,-3.866721055408560703e-01,-2.114009590126670446e+01
3.333617683803908294e+05,4.979752966179216281e+06,-3.817696336805563306e-01,-2.089533777628343358e+01
3.333603299852046184e+05,4.979753503894798458e+06,-3.797879017758597486e-01,-2.079617130905341327e+01
