easting,northing,dz_dx,dz_dy,inclination_deg
3.333228031112166354e+05,4.979798279871522449e+06,2.491231979547076369e-01,-3.359918128769289747e-01,2.269827436178903568e+01
3.333226780014698743e+05,4.979799839402260259e+06,2.526148425199351011e-01,-3.355972050802248363e-01,2.278470989832698734e+01
3.333225932010919787e+05,4.979801431230869144e+06,2.516085526009196882e-01,-3.400455683832161458e-01,2.292887061808733051e+01
3.333224390871907817e+05,4.979804603368192911e+06,2.437392305771552137e-01,-3.631893290134162178e-01,2.362437830971965269e+01
3.333223610168236773e+05,4.979806150556546636e+06,2.408223263154332661e-01,-3.802392115547008622e-01,2.423183456147551951e+01
3.333222832361009205e+05,4.979807708853568882e+06,2.401065046488168875e-01,-3.966710043883261427e-01,2.487620545083922607e+01
3.333222121852352284e+05,4.979809222510323860e+06,2.425940761654390154e-01,-4.106712695818684478e-01,2.549985901602574501e+01
3.333221563314719824e+05,4.979810713538508862e+06,2.488187751975305395e-01,-4.166551472821222180e-01,2.588711771712868170e+01
3.333219342485780362e+05,4.979812186667505652e+06,2.581449967424122582e-01,-4.172369897818390960e-01,2.613431899995062224e+01
3.333215912381786620e+05,4.979813562902947888e+06,2.671565349648719057e-01,-4.137815511606706131e-01,2.622172248840492870e+01
3.333211527020905633e+05,4.979814908279944211e+06,2.748205608794089816e-01,-4.100961624696017327e-01,2.627394430151269233e+01
3.333204763651346439e+05,4.979816215391146950e+06,2.815358443570012970e-01,-4.087800438364415645e-01,2.639751416620233471e+01
3.333186273909988813e+05,4.979818564646264538e+06,2.886840598758705356e-01,-4.084511020815002058e-01,2.657287770699834795e+01
3.333175421020459617e+05,4.979819626745708287e+06,2.882020148695642048e-01,-4.071296966250688154e-01,2.651064405463927898e+01
3.333163911024676636e+05,4.979820590512447990e+06,2.881952404246913568e-01,-4.059106211819454302e-01,2.646481778401978957e+01
3.333151591952466406e+05,4.979821478575112298e+06,2.895606606486788026e-01,-4.045253830671950435e-01,2.644941778388584552e+01
3.333137902949969284e+05,4.979822259047210217e+06,2.886728178026354841e-01,-4.031931879029189703e-01,2.637588248894333276e+01
3.333123469271686627e+05,4.979822908066403121e+06,2.854051002239109680e-01,-4.061919969127520402e-01,2.640142461299685550e+01
3.333108948027420556e+05,4.979823523965584114e+06,2.799756213088774315e-01,-4.073870700478209317e-01,2.630402942768133201e+01
3.333094508562656119e+05,4.979824150768122636e+06,2.745969383952416853e-01,-4.080718563257344500e-01,2.619072095439104686e+01
